id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
44728951.0,Sutcliffe,adoptable,True,False,,False,True,,US,CO,Littleton,Male,Baby,Boxer,,,,,,,11.0
44728940.0,Harrison,adoptable,True,False,,False,True,,US,CO,Littleton,Male,Baby,Boxer,,,,,,,11.0
,,,,,,,,,,,Scottsdale,,,,,1.0,60.48,80.0,1.0,4.0,
,,,,,,,,,,,Austin,,,,,4.0,56.2,33.0,2.0,58.0,
,,,,,,,,,,,Phoenix,,,,,5.0,56.0,49.0,13.0,16.0,
,,,,,,,,,,,Tampa,,,,,6.0,55.41,30.0,20.0,19.0,
,,,,,,,,,,,Cincinnati,,,,,7.0,55.31,4.0,32.0,29.0,
,,,,,,,,,,,Seattle,,,,,8.0,54.49,86.0,6.0,11.0,
,,,,,,,,,,,Las Vegas,,,,,9.0,54.44,63.0,16.0,10.0,
,,,,,,,,,,,Irvine,,,,,10.0,54.34,96.0,5.0,5.0,
,,,,,,,,,,,Portland,,,,,11.0,54.29,83.0,11.0,7.0,
,,,,,,,,,,,Atlanta,,,,,12.0,53.13,21.0,10.0,80.0,
,,,,,,,,,,,Sacramento,,,,,14.0,52.58,48.0,26.0,21.0,
,,,,,,,,,,,Plano,,,,,15.0,52.28,70.0,9.0,35.0,
,,,,,,,,,,,Columbus,,,,,16.0,52.05,1.0,63.0,56.0,
,,,,,,,,,,,Los Angeles,,,,,17.0,51.77,97.0,12.0,3.0,
,,,,,,,,,,,Oakland,,,,,18.0,51.55,85.0,18.0,9.0,
,,,,,,,,,,,Long Beach,,,,,19.0,50.98,77.0,24.0,12.0,
,,,,,,,,,,,Fremont,,,,,21.0,50.79,94.0,19.0,2.0,
,,,,,,,,,,,Fort Worth,,,,,24.0,50.68,11.0,30.0,73.0,
,,,,,,,,,,,Stockton,,,,,27.0,49.95,12.0,89.0,39.0,
,,,,,,,,,,,Henderson,,,,,28.0,49.86,51.0,67.0,8.0,
,,,,,,,,,,,Arlington,,,,,30.0,49.4,20.0,46.0,59.0,
,,,,,,,,,,,Birmingham,,,,,31.0,49.27,44.0,34.0,52.0,
,,,,,,,,,,,Madison,,,,,32.0,49.23,43.0,48.0,30.0,
,,,,,,,,,,,Boise,,,,,36.0,48.66,50.0,47.0,37.0,
,,,,,,,,,,,Anaheim,,,,,38.0,48.3,90.0,8.0,40.0,
,,,,,,,,,,,Glendale,,,,,39.0,48.21,31.0,42.0,60.0,
,,,,,,,,,,,Omaha,,,,,40.0,48.15,3.0,77.0,68.0,
,,,,,,,,,,,St. Petersburg,,,,,41.0,48.05,40.0,73.0,24.0,
,,,,,,,,,,,San Francisco,,,,,42.0,47.98,100.0,14.0,1.0,
,,,,,,,,,,,North Las Vegas,,,,,43.0,47.46,51.0,81.0,22.0,
,,,,,,,,,,,Pittsburgh,,,,,44.0,47.18,60.0,55.0,27.0,
,,,,,,,,,,,Riverside,,,,,45.0,47.07,82.0,36.0,28.0,
,,,,,,,,,,,Hialeah,,,,,46.0,47.03,24.0,75.0,61.0,
,,,,,,,,,,,Lexington-Fayette,,,,,47.0,46.93,35.0,41.0,83.0,
,,,,,,,,,,,Chula Vista,,,,,48.0,46.76,53.0,70.0,32.0,
,,,,,,,,,,,Minneapolis,,,,,49.0,46.72,66.0,44.0,36.0,
,,,,,,,,,,,Chicago,,,,,50.0,46.45,89.0,15.0,49.0,
,,,,,,,,,,,Jersey City,,,,,51.0,46.38,92.0,31.0,18.0,
,,,,,,,,,,,Reno,,,,,52.0,46.09,54.0,28.0,76.0,
,,,,,,,,,,,Gilbert,,,,,53.0,46.03,75.0,22.0,69.0,
,,,,,,,,,,,Garland,,,,,54.0,45.93,56.0,38.0,66.0,
,,,,,,,,,,,Corpus Christi,,,,,55.0,45.87,5.0,91.0,86.0,
,,,,,,,,,,,Louisville,,,,,56.0,45.84,16.0,53.0,94.0,
,,,,,,,,,,,San Jose,,,,,57.0,45.81,39.0,84.0,25.0,
,,,,,,,,,,,Toledo,,,,,59.0,45.74,9.0,76.0,57.0,
,,,,,,,,,,,St. Paul,,,,,60.0,45.48,58.0,66.0,38.0,
,,,,,,,,,,,Wichita,,,,,62.0,44.72,18.0,58.0,98.0,
,,,,,,,,,,,Nashville,,,,,63.0,44.56,37.0,62.0,78.0,
,,,,,,,,,,,San Bernardino,,,,,64.0,44.5,67.0,85.0,15.0,
,,,,,,,,,,,Aurora,,,,,66.0,44.44,65.0,29.0,77.0,
,,,,,,,,,,,Chesapeake,,,,,67.0,44.32,61.0,86.0,26.0,
,,,,,,,,,,,Bakersfield,,,,,68.0,44.07,79.0,68.0,34.0,
,,,,,,,,,,,Winston-Salem,,,,,69.0,44.06,25.0,80.0,89.0,
,,,,,,,,,,,Greensboro,,,,,70.0,44.05,19.0,74.0,62.0,
,,,,,,,,,,,Durham,,,,,71.0,44.03,26.0,65.0,90.0,
,,,,,,,,,,,Chandler,,,,,73.0,43.75,59.0,49.0,67.0,
,,,,,,,,,,,Indianapolis,,,,,74.0,43.6,23.0,56.0,97.0,
,,,,,,,,,,,Washington,,,,,75.0,43.39,98.0,50.0,17.0,
,,,,,,,,,,,Santa Ana,,,,,76.0,43.37,95.0,17.0,54.0,
,,,,,,,,,,,Lubbock,,,,,77.0,43.16,29.0,87.0,91.0,
,,,,,,,,,,,Boston,,,,,78.0,43.16,69.0,72.0,44.0,
,,,,,,,,,,,Memphis,,,,,79.0,43.14,17.0,78.0,99.0,
,,,,,,,,,,,Lincoln,,,,,81.0,43.03,38.0,90.0,65.0,
,,,,,,,,,,,Jacksonville,,,,,82.0,42.95,41.0,71.0,84.0,
,,,,,,,,,,,Baton Rouge,,,,,83.0,42.82,36.0,54.0,95.0,
,,,,,,,,,,,El Paso,,,,,84.0,42.77,28.0,98.0,45.0,
,,,,,,,,,,,Anchorage,,,,,85.0,42.48,71.0,95.0,23.0,
,,,,,,,,,,,Milwaukee,,,,,86.0,42.04,13.0,96.0,81.0,
,,,,,,,,,,,Detroit,,,,,87.0,41.92,34.0,93.0,70.0,
,,,,,,,,,,,Virginia Beach,,,,,88.0,41.3,47.0,82.0,87.0,
,,,,,,,,,,,Cleveland,,,,,89.0,41.14,55.0,83.0,79.0,
,,,,,,,,,,,New York,,,,,90.0,41.05,99.0,39.0,13.0,
,,,,,,,,,,,Fresno,,,,,91.0,40.94,76.0,88.0,43.0,
